"@timestamp","process.command_line","process.executable","process.working_directory","process.pid","process.parent.pid","process.user.id"
"Nov 1, 2023 @ 23:53:59.883","mkdir -p /run/chrony-dhcp","/usr/bin/mkdir","""/""",1808684,1808672,0
"Nov 1, 2023 @ 23:53:59.883","sed -e /^nameserver/!b ENDOFCYCLE -e s/$/ / -e s/\([:. ]\)0\+/\10/g -e s/\([:. ]\)0\([123456789abcdefABCDEF][[:xdigit:]]*\)/\1\2/g -e /::/b ENDOFCYCLE; s/ \(0[: ]\)\+/ ::/ -e s/#.*$// /::/b ENDOFCYCLE; s/:\(0[: ]\)\+/::/ -e : ENDOFCYCLE - -e s/[[:blank:]]\+$// -e s/^[[:blank:]]\+// -e s/[[:blank:]]\+/ /g -e","/usr/bin/sed","""/run/resolvconf/interface""",1808680,1808679,0
"Nov 1, 2023 @ 23:53:59.883","run-parts --list /etc/dhcp/dhclient-exit-hooks.d","/usr/bin/run-parts","""/""",1808682,1808672,0
"Nov 1, 2023 @ 23:53:59.883","run-parts --list /etc/dhcp/dhclient-enter-hooks.d","/usr/bin/run-parts","""/""",1808673,1808672,0
"Nov 1, 2023 @ 23:53:59.883","ip -4 600 dev enp1s0 label enp1s0 addr change 192.168.1.2/255.255.255.0 broadcast 192.168.1.255 valid_lft 600 preferred_lft","/usr/bin/ip","""/""",1808674,1808672,0
"Nov 1, 2023 @ 23:53:19.846","hostname -f","/usr/bin/hostname","""/""",1808671,672,0
"Nov 1, 2023 @ 23:53:09.793","/usr/bin/chronyc reload sources","/usr/bin/chronyc","""/""",1808670,1808657,0
"Nov 1, 2023 @ 23:53:09.793","sed -e /^nameserver/!b ENDOFCYCLE -e s/$/ / -e s/\([:. ]\)0\+/\10/g -e s/\([:. ]\)0\([123456789abcdefABCDEF][[:xdigit:]]*\)/\1\2/g -e /::/b ENDOFCYCLE; s/ \(0[: ]\)\+/ ::/ -e s/#.*$// /::/b ENDOFCYCLE; s/:\(0[: ]\)\+/::/ -e : ENDOFCYCLE - -e s/[[:blank:]]\+$// -e s/^[[:blank:]]\+// -e s/[[:blank:]]\+/ /g -e","/usr/bin/sed","""/run/resolvconf/interface""",1808665,1808664,0
"Nov 1, 2023 @ 23:53:09.793","rm -f /run/chrony-dhcp/enp1s0.sources","/usr/bin/rm","""/""",1808668,1808657,0
"Nov 1, 2023 @ 23:53:09.793","run-parts --list /etc/dhcp/dhclient-enter-hooks.d","/usr/bin/run-parts","""/""",1808658,1808657,0
"Nov 1, 2023 @ 23:53:09.793","sed -e s/[[:blank:]]\+$// -e /^$/d","/usr/bin/sed","""/run/resolvconf/interface""",1808666,1808664,0
"Nov 1, 2023 @ 23:53:09.793","flock -w 10 9","/usr/bin/flock","""/run/resolvconf/interface""",1808662,1808661,0
"Nov 1, 2023 @ 23:53:09.793","mkdir -p /run/chrony-dhcp","/usr/bin/mkdir","""/""",1808669,1808657,0
"Nov 1, 2023 @ 23:53:09.793","/bin/sh /sbin/dhclient-script","/usr/bin/dash","""/""",1808657,500,0
"Nov 1, 2023 @ 23:53:09.793","/bin/sh /sbin/resolvconf -a enp1s0.dhclient","/usr/bin/dash","""/""",1808661,1808657,0
"Nov 1, 2023 @ 23:53:09.793","ip -4 600 dev enp1s0 label enp1s0 addr change 192.168.1.2/255.255.255.0 broadcast 192.168.1.255 valid_lft 600 preferred_lft","/usr/bin/ip","""/""",1808659,1808657,0
"Nov 1, 2023 @ 23:53:09.793","run-parts --list /etc/dhcp/dhclient-exit-hooks.d","/usr/bin/run-parts","""/""",1808667,1808657,0
